Trans #,Type,Date,Num,Name,Source Name,Description,Due Date,Item,Account,Class,Tax Code,Qty,Sales Price,Debit,Credit,Amount,Account Type,Tax Amount
"10,204",Deposit,16/08/2023,,,,Deposit,,,1001 · CBA - Cheque Account,,,,,"2,115.99",,"2,115.99",Bank,
"10,204",Deposit,16/08/2023,,Australian Taxation Office,,Credit 2022 Income Tax - ATO (Other Debtor as at 30/6/23 per accounts),,,1018 · Other Debtors,,,,,,"2,115.99","-2,115.99",Other Current Asset,
"10,522",Deposit,27/08/2024,,,,MS 24/0024,,,1001 · CBA - Cheque Account,,,,,"4,271.20",,"4,271.20",Bank,
"10,522",Deposit,27/08/2024,,0300 Cash Sales - COD,,MS 24/0024,,,12000 · *Undeposited Funds,,,,,,"4,271.20","-4,271.20",Bank,
"10,523",Deposit,29/08/2024,,,,MS 24/0025,,,1001 · CBA - Cheque Account,,,,,"1,045.00",,"1,045.00",Bank,
"10,523",Deposit,29/08/2024,,0300 Cash Sales - COD,,MS 24/0025,,,12000 · *Undeposited Funds,,,,,,"1,045.00","-1,045.00",Bank,
"10,719",Deposit,26/02/2025,EFT,Australian Taxation Office,Australian Taxation Office,,,,1001 · CBA - Cheque Account,,,,,"294,824.00",,"294,824.00",Bank,
"10,719",Deposit,26/02/2025,EFT,Australian Taxation Office,Australian Taxation Office,BAS Dec 2024,,,25500 · Tax Payable,,,,,,"74,786.00","-74,786.00",Other Current Liability,0
"10,719",Deposit,26/02/2025,EFT,Australian Taxation Office,Australian Taxation Office,BAS Dec 2024,,,1118 · Income Tax Expense,,,,,,"220,038.00","-220,038.00",Other Expense,0
"10,314",Deposit,01/01/2024,EFT,CBA,CBA,,,,1001 · CBA - Cheque Account,,,,,9.98,,9.98,Bank,
"10,314",Deposit,01/01/2024,EFT,CBA,CBA,Debit excess interest,,,1084 · Interest Paid,,NCF,,,,9.98,-9.98,Expense,0
"10,314",Deposit,01/01/2024,EFT,Australian Taxation Office,CBA,Non-Cap. Acq. - GST Free,,NCF,25500 · Tax Payable,,,,0.00%,,0,0.00,Other Current Liability,
"10,305",Deposit,30/01/2024,EFT,Australian Securities & Investment Comm,Australian Securities & Investment Comm,,,,1001 · CBA - Cheque Account,,,,,310,,310.00,Bank,
