Trans #,Type,Date,Num,Name,Source Name,Description,Due Date,Item,Account,Class,Tax Code,Qty,Sales Price,Debit,Credit,Amount,Account Type,Tax Amount
"10,211",Sales Receipt,31/07/2023,M37417,1302 MACKA'S SAND & SOIL SUPPLIES,1302 MACKA'S SAND & SOIL SUPPLIES,,30/08/2023,,1001 · CBA - Cheque Account,,,,,"955,563.62",,"955,563.62",Bank,
"10,211",Sales Receipt,31/07/2023,M37417,1302 MACKA'S SAND & SOIL SUPPLIES,1302 MACKA'S SAND & SOIL SUPPLIES,July 2023 - actual quantity 86869.42,30/08/2023,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,"86,869.42",10,,"868,694.20","-868,694.20",Income,"-86,869.42"
"10,211",Sales Receipt,31/07/2023,M37417,Australian Taxation Office,1302 MACKA'S SAND & SOIL SUPPLIES,10% GST,31/07/2023,GST,25500 · Tax Payable,,,,10.00%,,"86,869.42","-86,869.42",Other Current Liability,
"10,212",Sales Receipt,31/08/2023,M37418,1302 MACKA'S SAND & SOIL SUPPLIES,1302 MACKA'S SAND & SOIL SUPPLIES,,30/09/2023,,1001 · CBA - Cheque Account,,,,,"1,098,912.87",,"1,098,912.87",Bank,
"10,212",Sales Receipt,31/08/2023,M37418,1302 MACKA'S SAND & SOIL SUPPLIES,1302 MACKA'S SAND & SOIL SUPPLIES,"August 2023 - actual quantity 99,901.17",30/09/2023,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,"99,901.17",10,,"999,011.70","-999,011.70",Income,"-99,901.17"
"10,212",Sales Receipt,31/08/2023,M37418,Australian Taxation Office,1302 MACKA'S SAND & SOIL SUPPLIES,10% GST,31/08/2023,GST,25500 · Tax Payable,,,,10.00%,,"99,901.17","-99,901.17",Other Current Liability,
"10,213",Sales Receipt,30/09/2023,M37419,1302 MACKA'S SAND & SOIL SUPPLIES,1302 MACKA'S SAND & SOIL SUPPLIES,,30/10/2023,,1001 · CBA - Cheque Account,,,,,"907,884.56",,"907,884.56",Bank,
"10,213",Sales Receipt,30/09/2023,M37419,1302 MACKA'S SAND & SOIL SUPPLIES,1302 MACKA'S SAND & SOIL SUPPLIES,"September 2023 - actual quantity 82,534.96",30/10/2023,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,"82,534.96",10,,"825,349.60","-825,349.60",Income,"-82,534.96"
"10,213",Sales Receipt,30/09/2023,M37419,Australian Taxation Office,1302 MACKA'S SAND & SOIL SUPPLIES,10% GST,30/09/2023,GST,25500 · Tax Payable,,,,10.00%,,"82,534.96","-82,534.96",Other Current Liability,
"10,209",Sales Receipt,03/10/2023,W37353,0234 MICHEAL BIGENI,0234 MICHEAL BIGENI,,02/11/2023,,1001 · CBA - Cheque Account,,,,,326.26,,326.26,Bank,
"10,209",Sales Receipt,03/10/2023,W37353,0234 MICHEAL BIGENI,0234 MICHEAL BIGENI,WI219918/2    BIGEN4    29.66t    Fill Sand Will,02/11/2023,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,29.66,10,,296.6,-296.6,Income,-29.66
"10,209",Sales Receipt,03/10/2023,W37353,Australian Taxation Office,0234 MICHEAL BIGENI,10% GST,31/10/2023,GST,25500 · Tax Payable,,,10,,,29.66,-29.66,Other Current Liability,
"10,302",Sales Receipt,31/10/2023,M37798,1302 MACKA'S SAND & SOIL SUPPLIES,1302 MACKA'S SAND & SOIL SUPPLIES,,30/11/2023,,1001 · CBA - Cheque Account,,,,,"731,199.48",,"731,199.48",Bank,
"10,302",Sales Receipt,31/10/2023,M37798,1302 MACKA'S SAND & SOIL SUPPLIES,1302 MACKA'S SAND & SOIL SUPPLIES,"Oct 2023 - Quantie 66,472.68",30/11/2023,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,"66,472.68",10,,"664,726.80","-664,726.80",Income,"-66,472.68"
"10,302",Sales Receipt,31/10/2023,M37798,Australian Taxation Office,1302 MACKA'S SAND & SOIL SUPPLIES,10% GST,31/10/2023,GST,25500 · Tax Payable,,,,10.00%,,"66,472.68","-66,472.68",Other Current Liability,
"10,210",Sales Receipt,01/11/2023,W37416,1424 Newcastle Sandstone Supplies,1424 Newcastle Sandstone Supplies,,31/12/2023,,1001 · CBA - Cheque Account,,,,,220.66,,220.66,Bank,
"10,210",Sales Receipt,01/11/2023,W37416,1302 MACKA'S SAND & SOIL,1424 Newcastle Sandstone Supplies,WI221027/1    XO31AK    12.06t    Fill Sand Will,31/12/2023,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,12.06,10,,120.6,-120.6,Income,-12.06
"10,210",Sales Receipt,01/11/2023,W37416,1302 MACKA'S SAND & SOIL,1424 Newcastle Sandstone Supplies,WI221034/1    XO31AK    8.00t    Fill Sand Will,31/12/2023,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,8,10,,80,-80,Income,-8
"10,210",Sales Receipt,01/11/2023,W37416,Australian Taxation Office,1424 Newcastle Sandstone Supplies,10% GST,30/11/2023,GST,25500 · Tax Payable,,,10,,,20.06,-20.06,Other Current Liability,
"10,278",Sales Receipt,30/11/2023,W35676,1302 MACKA'S SAND & SOIL,1302 MACKA'S SAND & SOIL,,31/12/2023,,1001 · CBA - Cheque Account,,,,,435.42,,435.42,Bank,
"10,278",Sales Receipt,30/11/2023,W35676,1302 MACKA'S SAND & SOIL,1302 MACKA'S SAND & SOIL,SI170186/2    CB55FE    12.74t    Fill Sand S/Ash,31/12/2023,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,12.74,10.25,,130.58,-130.59,Income,-13.05
"10,278",Sales Receipt,30/11/2023,W35676,1302 MACKA'S SAND & SOIL,1302 MACKA'S SAND & SOIL,SI170188/1    CB55FE    12.92t    Fill Sand S/Ash,31/12/2023,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,12.92,10.25,,132.43,-132.43,Income,-13.24
"10,278",Sales Receipt,30/11/2023,W35676,1302 MACKA'S SAND & SOIL,1302 MACKA'S SAND & SOIL,SI170190/1    CB55FE    12.96t    Fill Sand S/Ash,31/12/2023,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,12.96,10.25,,132.84,-132.84,Income,-13.28
"10,278",Sales Receipt,30/11/2023,W35676,Australian Taxation Office,1302 MACKA'S SAND & SOIL,10% GST,30/11/2023,GST,25500 · Tax Payable,,,10,,,39.57,-39.57,Other Current Liability,
"10,303",Sales Receipt,30/11/2023,M37799,1302 MACKA'S SAND & SOIL SUPPLIES,1302 MACKA'S SAND & SOIL SUPPLIES,,30/12/2023,,1001 · CBA - Cheque Account,,,,,"891,396.33",,"891,396.33",Bank,
"10,303",Sales Receipt,30/11/2023,M37799,1302 MACKA'S SAND & SOIL SUPPLIES,1302 MACKA'S SAND & SOIL SUPPLIES,"Nov 2023 - Quantity 81,036.03",30/12/2023,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,"81,036.03",10,,"810,360.30","-810,360.30",Income,"-81,036.03"
"10,303",Sales Receipt,30/11/2023,M37799,Australian Taxation Office,1302 MACKA'S SAND & SOIL SUPPLIES,10% GST,30/11/2023,GST,25500 · Tax Payable,,,,10.00%,,"81,036.03","-81,036.03",Other Current Liability,
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,,19/01/2024,,1001 · CBA - Cheque Account,,,,,"40,126.90",,"40,126.90",Bank,
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225658/1    XO25FD    36.42t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.42,10,,364.2,-364.2,Income,-36.42
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225659/1    XO40BG    37.72t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.72,10,,377.2,-377.2,Income,-37.72
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225660/1    XO20CL    30.96t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,30.96,10,,309.6,-309.6,Income,-30.96
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225916/1    FHE600    35.90t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,35.9,10,,359,-359,Income,-35.9
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225661/1    XO72FQ    30.30t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,30.3,10,,303,-303,Income,-30.3
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225918/1    FHE610    37.34t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.34,10,,373.4,-373.4,Income,-37.34
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225663/1    XO51RW    30.24t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,30.24,10,,302.4,-302.4,Income,-30.24
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225670/1    XO25FD    36.62t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.62,10,,366.2,-366.2,Income,-36.62
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225926/1    FHE480    36.66t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.66,10,,366.6,-366.6,Income,-36.66
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225927/1    XN15KO    36.64t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.64,10,,366.4,-366.4,Income,-36.64
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225673/1    XO40BG    37.78t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.78,10,,377.8,-377.8,Income,-37.78
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225674/1    XO20CL    31.54t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,31.54,10,,315.4,-315.4,Income,-31.54
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225675/1    XO72FQ    30.90t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,30.9,10,,309,-309,Income,-30.9
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225932/1    3SNOOP    38.70t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,38.7,10,,387,-387,Income,-38.7
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225677/1    XO51RW    30.86t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,30.86,10,,308.6,-308.6,Income,-30.86
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225934/1    FHE620    37.60t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.6,10,,376,-376,Income,-37.6
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225936/1    XO25FD    37.22t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.22,10,,372.2,-372.2,Income,-37.22
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225683/1    XO25FD    36.90t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.9,10,,369,-369,Income,-36.9
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225939/1    FHE600    35.96t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,35.96,10,,359.6,-359.6,Income,-35.96
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225940/1    FHE610    37.44t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.44,10,,374.4,-374.4,Income,-37.44
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225685/1    XO40BG    37.88t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.88,10,,378.8,-378.8,Income,-37.88
